Aircraft Type;Category;Min Runway Length (ft);Min Runway Length (m);Min Runway Width (ft);Min Runway Width (m);ICAO Code (runway);Range (km);BADA ID;V_CRU2_kts;M_CRU;wake_turb_cat;h_mo_ft
Beechcraft 1900D;local_aircraft;3395;1035;;23;B;2100;B190;200;0.41;L;30000
Short 330;local_aircraft;3247;990;;23;B;1600;SH33;180;0.33;M;20000
Let L-410 Turbolet;local_aircraft;2657;810;;23;B;1200;L410;180;0.34;L;30000
CASA C-212 Aviocar;local_aircraft;2657;810;;23;B;1600;C212;180;0.34;L;30000
Dornier DO-228;local_aircraft;2066;630;;23;B;1000;D228;180;0.34;L;30000
Cessna 208 Caravan;local_aircraft;1476;450;;23;B;1800;C208;140;0.5;L;20000
Boeing 727-200;regional;8858;2701;;30;C;4200;B722;350;0.82;M;40000
Boeing 727-100;regional;7972;2431;;30;C;4200;B721;350;0.82;M;40000
McDonnell Douglas MD-90;regional;6495;1980;;30;C;3700;MD90;290;0.76;M;40000
McDonnell Douglas DC-9-40;regional;6200;1890;;30;C;2800;DC94;340;0.8;M;40000
McDonnell Douglas DC-9-10;regional;6200;1890;;30;C;2800;DC91;340;0.8;M;40000
Boeing 717;regional;6200;1890;;30;C;3700;B712;275;0.75;M;40000
Embraer ERJ190;regional;6071;1851;;30;C;4400;E190;360;0.82;M;51000
McDonnell Douglas MD-81;regional;6059;1847;;30;C;2800;MD81;290;0.76;M;40000
Embraer ERJ145;regional;5905;1800;;23;B;2800;E145;270;0.76;M;40000
Boeing 737-200 Advanced;regional;5610;1710;;30;C;3700;B732;280;0.72;M;40000
Bombardier CRJ900;regional;5550;1692;;30;C;2800;CRJ9;290;0.74;M;45000
Fokker 100;regional;5019;1530;;30;C;3100;F100;280;0.7;M;40000
Bombardier CRJ700;regional;4724;1440;;30;C;2500;CRJ7;290;0.74;M;45000
ATR 72;regional;4429;1350;;30;C;1500;AT72;220;0.45;M;30000
British Aerospace ATP;regional;3989;1216;;30;C;1800;ATP;205;0.4;M;30000
Saab 2000;regional;3839;1170;;30;C;2800;SB20;265;0.62;M;35000
Dash 8 Q400;regional;3839;1170;;30;C;2000;DH8D;283;0.57;M;25000
Fokker 70;regional;3839;1170;;30;C;2000;F70;280;0.7;M;40000
Dash 8 Q300;regional;3247;990;;30;C;1600;DH8C;245;0.45;M;30000
British Aerospace BAe-146;regional;3041;927;;30;C;3000;B462;305;0.7;M;35000
Concorde;medium_range;10030;3061;;45;D;7200;CONC;380;0.9;M;55000
McDonnell Douglas DC-8-63;medium_range;8858;2701;;45;D;7400;DC86;300;0.8;H;45000
McDonnell Douglas DC-10-10;medium_range;8858;2701;;45;D;6500;DC10;330;0.82;H;45000
Boeing 707-120B;medium_range;8563;2611;;45;D;6800;B701;300;0.8;H;45000
Boeing 767-300;medium_range;8563;2611;;45;D;11000;B763;310;0.8;H;45000
Airbus 300;medium_range;8415;2566;;45;D;7400;A30B;300;0.78;H;40000
Boeing 767-200;medium_range;7972;2431;;45;D;7200;B762;310;0.8;H;45000
Boeing 757-300;medium_range;7677;2341;;45;D;6200;B753;300;0.79;M;45000
Boeing 737-900ER;medium_range;6791;2070;;30;C;5900;B739;280;0.78;M;45000
Airbus 310;medium_range;6762;2061;;45;D;8000;A310;310;0.8;H;45000
Airbus 321;medium_range;6525;1989;;30;C;5900;A321;300;0.78;M;40000
Airbus 320;medium_range;6467;1971;;30;C;6100;A320;310;0.78;M;40000
Tupolev Tu-154;medium_range;6200;1890;;30;C;3900;T154;297;0.8;M;45000
Tupolev Tu-204;medium_range;6053;1845;;30;C;4300;T204;290;0.8;M;45000
Boeing 737-700;medium_range;5315;1620;;30;C;6300;B737;280;0.78;M;45000
Airbus 319;medium_range;5167;1575;;30;C;6900;A319;300;0.78;M;40000
Airbus 318;medium_range;4134;1260;;30;C;5700;A318;300;0.78;M;40000
Boeing 747-400;long_range;9743;2971;;45;D;13500;B744;340;0.84;H;50000
Boeing 747-400ER;long_range;9743;2971;;45;D;14200;B744;340;0.84;H;50000
Boeing 747-300;long_range;9743;2971;;45;D;12400;B743;340;0.85;H;50000
Boeing 747-400M;long_range;9743;2971;;45;D;13500;B744;340;0.84;H;50000
Boeing 747-200;long_range;9448;2881;;45;D;12100;B742;340;0.86;H;50000
Airbus 340-500;long_range;9448;2881;;45;D;16000;A345;300;0.8;H;45000
Boeing 747-100;long_range;9419;2871;;45;D;8500;B741;340;0.86;H;50000
Airbus 340-600;long_range;9271;2826;;45;D;14600;A346;300;0.8;H;45000
McDonnell Douglas MD-11;long_range;9153;2791;;45;D;12600;MD11;345;0.83;H;45000
Boeing 707-320B;long_range;9005;2746;;45;D;9300;B703;300;0.8;H;45000
Boeing 777-300;long_range;8858;2701;;45;D;11100;B773;310;0.84;H;45000
Boeing 767-300ER;long_range;8563;2611;;45;D;11000;B763;310;0.8;H;45000
Boeing 767-400;long_range;8563;2611;;45;D;10400;B764;290;0.8;H;50000
Boeing 777-200;long_range;8563;2611;;45;D;9700;B772;310;0.84;H;45000
Airbus 340-300;long_range;8164;2489;;45;D;13700;A343;300;0.8;H;45000
Boeing 767-200ER;long_range;7972;2431;;45;D;12200;B762;310;0.8;H;45000
Lockheed L-1011-500;long_range;7087;2161;;45;D;9600;L101;300;0.82;H;45000
Airbus 330-300;long_range;6791;2070;;45;D;11750;A333;330;0.82;H;45000
Airbus 330-200;long_range;6791;2070;;45;D;13450;A332;335;0.82;H;45000
Boeing 747 LCF;cargo;10030;3061;;45;D;7800;B744;340;0.84;H;50000
Boeing 747-400F;cargo;9743;2971;;45;D;8200;B744;340;0.84;H;50000
McDonnell Douglas MD-11F;cargo;9153;2791;;45;D;7300;MD11;345;0.83;H;45000
Boeing 767-300F;cargo;8563;2611;;45;D;6000;B763;310;0.8;H;45000
Airbus 300F;cargo;8415;2566;;45;D;3400;A30B;300;0.78;H;40000
Antonov An-124;cargo;8267;2521;;60;F;4500;A124;280;0.72;M;40000
Airbus 330-200F;cargo;6791;2070;;45;D;7400;A332;335;0.82;H;45000
Airbus 310-200F;cargo;6762;2061;;45;D;5500;A310;310;0.8;H;45000
Boeing 757-200F;cargo;5610;1710;;45;D;5800;B752;290;0.8;M;45000
ATR 72F;cargo;4606;1404;;30;C;1500;AT72;220;0.45;M;30000
